timestamp,phase_time,phase,ch1,ch2,ch3,ch4,ch5,ch6
1756459100.3798459,0.0012214183807373047,baseline,92567.06,39039.29,84482.88,98041.99,60262.8,78483.59
1756459100.569985,0.1913604736328125,baseline,92671.94,39064.77,84442.38,98155.98,60341.93,78728.47
1756459100.5734074,0.19478297233581543,baseline,92662.55,39142.01,84613.51,98155.44,60436.61,78260.16
1756459100.5779011,0.19927668571472168,baseline,92541.31,39013.0,84459.01,98015.43,60218.81,78711.84
1756459100.581394,0.20276951789855957,baseline,92507.79,38898.47,84268.04,97980.03,60089.0,79248.82
1756459100.5858889,0.20726442337036133,baseline,92553.11,38917.78,84267.23,98016.24,60126.01,79305.68
1756459100.5893128,0.21068835258483887,baseline,92663.35,39058.33,84461.69,98145.52,60338.44,78763.88
1756459100.5937955,0.21517109870910645,baseline,92664.69,39140.41,84625.04,98148.47,60426.95,78306.56
1756459100.5972073,0.2185828685760498,baseline,92550.97,39011.12,84454.18,98027.24,60221.23,78741.35
1756459100.6016886,0.22306418418884277,baseline,92513.42,38901.69,84255.16,97986.2,60091.95,79253.92
1756459100.605112,0.2264876365661621,baseline,92549.09,38915.64,84254.9,98013.56,60128.16,79301.12
1756459100.609595,0.2309706211090088,baseline,92657.99,39056.99,84454.18,98141.5,60332.81,78759.05
1756459100.6130102,0.23438572883605957,baseline,92650.48,39132.36,84611.9,98142.84,60416.23,78311.92
1756459100.6174872,0.2388627529144287,baseline,92531.12,38995.57,84442.11,98004.17,60199.23,78771.12
1756459100.621969,0.24334454536437988,baseline,92491.69,38875.67,84247.92,97965.81,60073.71,79288.79
1756459100.6253836,0.24675917625427246,baseline,92542.65,38902.49,84249.8,98015.17,60124.67,79312.93
1756459100.6299083,0.2512838840484619,baseline,92665.5,39061.82,84451.5,98153.84,60347.29,78745.91
1756459100.6333287,0.25470423698425293,baseline,92662.01,39142.01,84605.46,98158.93,60431.25,78297.44
1756459100.6378083,0.2591838836669922,baseline,92553.92,39017.83,84440.5,98032.6,60223.37,78752.08
1756459100.6412265,0.2626020908355713,baseline,92524.41,38909.47,84258.38,98001.75,60108.58,79264.38
1756459100.6457543,0.26712989807128906,baseline,92569.21,38930.12,84269.65,98040.38,60155.51,79292.54
1756459100.6491823,0.27055788040161133,baseline,92670.06,39065.84,84476.98,98153.84,60355.34,78748.59
1756459100.653667,0.2750425338745117,baseline,92652.62,39130.48,84625.85,98136.94,60412.47,78339.02
1756459100.6570833,0.278458833694458,baseline,92531.39,38986.98,84452.84,98001.22,60192.53,78827.71
1756459100.6615603,0.28293585777282715,baseline,92500.27,38879.69,84265.09,97966.08,60071.02,79341.09
1756459100.6649733,0.286348819732666,baseline,92542.65,38902.23,84273.13,98007.12,60121.99,79368.98
1756459100.6694546,0.290830135345459,baseline,92651.02,39045.19,84477.79,98132.91,60334.42,78811.62
1756459100.6739328,0.29530835151672363,baseline,92625.8,39101.78,84622.36,98110.65,60390.48,78418.14
1756459100.6773438,0.2987194061279297,baseline,92511.0,38966.33,84438.63,97977.61,60164.9,78905.5
1756459100.6818976,0.30327320098876953,baseline,92473.99,38852.87,84243.09,97946.23,60049.57,79398.22
1756459100.6853242,0.3066997528076172,baseline,92523.07,38884.52,84252.48,97993.44,60108.04,79404.93
1756459100.6898072,0.31118273735046387,baseline,92649.41,39047.33,84461.16,98130.5,60328.25,78825.03
1756459100.6932197,0.31459522247314453,baseline,92635.99,39115.46,84600.1,98119.5,60394.23,78425.38
1756459100.6976957,0.31907129287719727,baseline,92521.73,38978.94,84418.78,97992.9,60176.97,78911.4
1756459100.7011137,0.32248926162719727,baseline,92498.93,38878.35,84239.07,97967.96,60068.88,79399.56
1756459100.7055967,0.32697224617004395,baseline,92549.63,38912.42,84260.26,98022.41,60137.81,79402.24
1756459100.7100785,0.3314540386199951,baseline,92673.01,39075.23,84473.76,98160.27,60359.36,78816.98
1756459100.7134883,0.33486390113830566,baseline,92654.5,39142.28,84612.43,98138.82,60412.47,78428.06
1756459100.7179687,0.3393442630767822,baseline,92536.75,38998.25,84428.97,98009.26,60194.94,78926.69
1756459100.7213843,0.3427598476409912,baseline,92508.86,38890.42,84250.87,97981.64,60084.17,79415.39
1756459100.7258654,0.3472409248352051,baseline,92557.94,38919.93,84267.77,98033.67,60150.69,79403.85
1756459100.7292821,0.35065770149230957,baseline,92674.08,39080.06,84482.35,98159.2,60363.12,78816.98
