timestamp,phase_time,phase,ch1,ch2,ch3,ch4,ch5,ch6
1756458951.1033356,0.0010526180267333984,baseline,84630.14,37285.39,76860.05,92203.35,54925.74,71797.91
1756458951.105783,0.0034999847412109375,baseline,84707.65,37314.63,76884.45,92239.3,54977.51,71860.14
1756458951.1137834,0.011500358581542969,baseline,84903.45,37525.72,77263.45,92327.81,55350.87,70682.65
1756458951.1182873,0.016004323959350586,baseline,84705.78,37387.85,77053.97,92220.79,55088.28,71203.53
1756458951.1217124,0.019429445266723633,baseline,84628.53,37281.1,76863.0,92197.19,54923.87,71796.84
1756458951.126202,0.023919105529785156,baseline,84706.31,37303.9,76891.16,92229.37,54969.46,71863.36
1756458951.129626,0.027343034744262695,baseline,84898.63,37451.69,77136.31,92340.15,55247.07,71202.19
1756458951.134108,0.03182506561279297,baseline,84894.07,37511.23,77270.69,92309.3,55329.42,70708.67
1756458951.1421034,0.03982043266296387,baseline,84636.57,37287.54,76861.12,92206.57,54934.06,71796.84
1756458951.1500726,0.047789573669433594,baseline,84911.5,37477.44,77140.34,92358.39,55271.21,71159.55
1756458951.1579971,0.05571413040161133,baseline,84715.16,37394.82,77062.02,92224.01,55080.77,71212.92
1756458951.16612,0.06383705139160156,baseline,84718.11,37317.84,76899.74,92238.49,54976.71,71823.93
1756458951.1741004,0.07181739807128906,baseline,84904.26,37529.47,77283.57,92324.05,55344.17,70664.95
1756458951.1820168,0.07973384857177734,baseline,84642.21,37287.27,76869.7,92209.26,54931.91,71768.41
1756458951.1898952,0.08761215209960938,baseline,84920.08,37471.54,77163.94,92350.61,55267.99,71120.39
1756458951.197853,0.09557008743286133,baseline,84718.65,37389.73,77064.43,92221.86,55074.34,71207.56
1756458951.2023416,0.10005855560302734,baseline,84653.2,37293.7,76878.28,92214.35,54940.5,71756.61
1756458951.205805,0.10352206230163574,baseline,84741.72,37330.45,76919.32,92254.05,55003.53,71781.01
1756458951.2103312,0.1080482006072998,baseline,84935.64,37484.68,77167.16,92368.85,55289.45,71081.49
1756458951.2137644,0.1114814281463623,baseline,84920.62,37540.74,77286.78,92334.51,55351.41,70628.2
1756458951.2182374,0.11595439910888672,baseline,84729.38,37397.77,77064.7,92237.42,55089.89,71175.64
1756458951.2216492,0.11936616897583008,baseline,84659.37,37294.24,76879.36,92220.79,54948.54,71728.71
1756458951.2261589,0.12387585639953613,baseline,84742.52,37322.14,76921.2,92254.85,55002.19,71750.44
1756458951.2341366,0.13185358047485352,baseline,84914.99,37527.33,77282.49,92332.1,55348.46,70597.35
1756458951.2420554,0.1397724151611328,baseline,84649.45,37278.95,76877.21,92208.72,54931.91,71718.25
1756458951.2499216,0.14763855934143066,baseline,84927.06,37460.27,77179.5,92344.71,55260.75,71050.65
1756458951.2543955,0.15211248397827148,baseline,84901.58,37505.6,77287.59,92306.08,55312.79,70630.08
1756458951.257847,0.1555640697479248,baseline,84715.7,37372.03,77054.51,92217.84,55057.17,71189.05
1756458951.262323,0.16003990173339844,baseline,84651.33,37277.07,76876.94,92207.65,54926.55,71730.59
1756458951.2657342,0.1634511947631836,baseline,84741.98,37314.36,76928.71,92244.66,54990.92,71738.9
