timestamp,phase_time,phase,ch1,ch2,ch3,ch4,ch5,ch6
1756458921.105839,1.5388033390045166,baseline,84221.9,35953.4,75430.43,90673.96,54345.85,59934.77
1756458921.1092713,1.5422356128692627,baseline,84161.29,35988.27,75500.97,90609.05,54365.43,59594.93
1756458921.1137576,1.5467219352722168,baseline,83973.0,35893.32,75292.83,90466.36,54086.21,60253.42
1756458921.1171756,1.5501399040222168,baseline,83907.28,35798.91,75149.06,90425.85,53944.32,60813.46
1756458921.1216586,1.5546228885650635,baseline,84001.43,35813.93,75205.93,90484.06,54015.4,60773.23
1756458921.125077,1.5580413341522217,baseline,84201.52,35931.41,75432.57,90644.99,54316.08,59968.56
1756458921.1295583,1.5625226497650146,baseline,84141.71,35968.43,75492.92,90590.01,54340.48,59633.29
1756458921.1329741,1.5659384727478027,baseline,83962.27,35881.52,75283.98,90458.58,54072.53,60290.43
1756458921.137453,1.5704174041748047,baseline,83912.65,35804.81,75136.46,90433.36,53944.86,60816.14
1756458921.1408656,1.5738298892974854,baseline,84018.86,35835.39,75196.81,90508.2,54040.88,60744.26
1756458921.1453886,1.578352928161621,baseline,84218.15,35953.4,75435.52,90673.15,54356.58,59934.77
1756458921.148806,1.581770420074463,baseline,84140.37,35972.72,75506.33,90588.66,54350.68,59639.99
1756458921.1532888,1.5862531661987305,baseline,83954.22,35872.13,75299.8,90446.78,54059.93,60333.34
1756458921.1577725,1.5907368659973145,baseline,83895.48,35786.57,75151.75,90413.52,53926.62,60873.81
1756458921.1612263,1.5941905975341797,baseline,83988.82,35808.03,75215.85,90472.52,54005.75,60826.07
1756458921.16571,1.5986742973327637,baseline,84184.89,35921.75,75447.59,90633.99,54312.59,60024.09
1756458921.1691282,1.6020925045013428,baseline,84119.18,35952.6,75500.16,90563.72,54313.93,59726.36
1756458921.17369,1.606654405593872,baseline,83944.83,35867.57,75283.98,90439.0,54046.51,60394.23
1756458921.1771147,1.610079050064087,baseline,83906.48,35805.35,75138.33,90428.8,53936.81,60906.53
1756458921.181594,1.614558219909668,baseline,84014.57,35843.43,75195.47,90509.27,54044.91,60808.9
1756458921.1850107,1.6179749965667725,baseline,84204.2,35957.16,75430.96,90666.98,54356.31,59987.34
1756458921.189497,1.6224613189697266,baseline,84125.08,35974.06,75488.36,90581.15,54344.51,59707.32
1756458921.1929138,1.625878095626831,baseline,83946.71,35878.3,75275.66,90445.17,54062.34,60386.99
1756458921.1974013,1.6303656101226807,baseline,83911.57,35813.13,75129.48,90431.49,53946.74,60891.78
1756458921.200819,1.6337833404541016,baseline,84029.32,35854.43,75187.15,90522.41,54066.36,60767.06
1756458921.205299,1.63826322555542,baseline,84225.12,35975.94,75428.55,90686.3,54383.13,59932.89
1756458921.209776,1.642740249633789,baseline,84144.39,35993.91,75491.58,90601.0,54368.11,59670.03
1756458921.2131915,1.646155834197998,baseline,83970.85,35900.57,75283.71,90472.26,54092.11,60357.22
1756458921.217672,1.6506364345550537,baseline,83925.52,35823.32,75147.72,90444.63,53968.46,60870.06
1756458921.22109,1.6540544033050537,baseline,84037.1,35852.82,75210.75,90524.83,54067.17,60761.16
1756458921.2255707,1.6585350036621094,baseline,84236.39,35980.23,75450.81,90692.47,54388.23,59920.82
1756458921.2289855,1.661949872970581,baseline,84159.68,36004.9,75504.46,90613.34,54378.04,59660.11
1756458921.2334664,1.6664307117462158,baseline,83979.7,35912.9,75292.56,90478.43,54096.94,60346.76
1756458921.2369204,1.6698846817016602,baseline,83942.42,35846.12,75163.28,90455.63,53976.24,60863.62
1756458921.241419,1.6743834018707275,baseline,84048.9,35870.52,75236.24,90529.39,54075.48,60771.08
1756458921.2459059,1.6788702011108398,baseline,84239.07,35985.59,75472.81,90687.91,54382.6,59945.5
1756458921.2493222,1.6822865009307861,baseline,84155.12,36003.56,75518.67,90601.27,54359.8,59702.76
1756458921.2537997,1.6867640018463135,baseline,83976.75,35905.66,75299.8,90474.13,54086.21,60389.67
1756458921.2572148,1.6901791095733643,baseline,83936.52,35835.39,75158.99,90451.6,53969.8,60882.93
1756458921.2616959,1.6946601867675781,baseline,84040.59,35862.21,75227.38,90520.27,54068.24,60761.43
1756458921.2651312,1.6980955600738525,baseline,84221.9,35970.84,75466.64,90672.62,54374.01,59940.13
1756458921.269655,1.7026193141937256,baseline,84131.25,35978.08,75510.89,90579.01,54339.95,59721.53
1756458921.2731602,1.7061245441436768,baseline,83954.22,35880.45,75295.24,90443.56,54054.56,60431.78
1756458921.2776577,1.7106220722198486,baseline,83920.69,35817.68,75164.62,90419.15,53932.52,60944.89
1756458921.2810814,1.714045763015747,baseline,84034.69,35851.48,75233.55,90505.25,54047.32,60818.02
1756458921.2855659,1.7185301780700684,baseline,84222.17,35968.69,75473.61,90662.96,54362.21,59989.49
1756458921.288979,1.7219433784484863,baseline,84124.27,35976.74,75513.58,90563.72,54321.71,59784.56
1756458921.2934546,1.7264189720153809,baseline,83948.32,35880.45,75290.42,90435.51,54043.56,60486.77
