timestamp,phase_time,phase,ch1,ch2,ch3,ch4,ch5,ch6
1756459065.7566388,0.0011916160583496094,baseline,91868.08,38451.08,82724.43,97248.32,60215.06,75343.52
1756459065.7612574,0.005810260772705078,baseline,91770.71,38415.67,82734.35,97157.13,60137.54,75311.07
1756459065.7647665,0.009319305419921875,baseline,91653.5,38262.52,82498.05,97073.44,59941.74,75871.11
1756459065.769283,0.013835906982421875,baseline,91646.8,38206.73,82378.42,97075.59,59897.22,76176.35
1756459065.772771,0.017323732376098633,baseline,91739.87,38277.81,82472.03,97150.42,60010.94,75966.6
1756459065.7772915,0.02184438705444336,baseline,91872.37,38450.54,82726.84,97252.34,60219.35,75336.28
1756459065.7807217,0.02527451515197754,baseline,91774.2,38416.21,82735.96,97164.1,60141.84,75318.58
1756459065.7851973,0.02975010871887207,baseline,91664.77,38271.91,82500.19,97090.61,59954.89,75873.26
1756459065.7886078,0.03316068649291992,baseline,91670.67,38228.45,82389.69,97099.46,59920.55,76170.18
1756459065.7930796,0.03763246536254883,baseline,91766.96,38307.04,82486.25,97178.32,60039.11,75945.95
1756459065.7964895,0.041042327880859375,baseline,91891.15,38469.85,82738.37,97274.07,60242.69,75311.87
1756459065.8009608,0.04551362991333008,baseline,91778.22,38421.57,82744.54,97168.12,60146.66,75314.56
1756459065.805435,0.04998779296875,baseline,91668.25,38273.25,82509.85,97090.88,59956.23,75874.6
1756459065.8088439,0.05339670181274414,baseline,91653.77,38208.07,82398.54,97086.32,59914.12,76176.89
1756459065.813317,0.057869911193847656,baseline,91745.5,38283.71,82498.05,97152.3,60020.33,75963.11
1756459065.816729,0.06128191947937012,baseline,91869.96,38447.05,82748.3,97246.44,60216.4,75340.04
1756459065.8212552,0.06580805778503418,baseline,91765.89,38407.63,82746.96,97150.42,60126.01,75355.06
1756459065.8246713,0.06922411918640137,baseline,91641.16,38245.08,82515.21,97055.2,59924.31,75943.0
1756459065.829143,0.07369589805603027,baseline,91636.07,38184.73,82395.86,97058.69,59880.86,76227.85
1756459065.8325486,0.07710146903991699,baseline,91747.11,38280.22,82489.47,97147.2,60009.87,75977.87
1756459065.8370304,0.08158326148986816,baseline,91870.22,38450.81,82745.35,97240.01,60212.91,75355.86
1756459065.8415046,0.08605742454528809,baseline,91761.33,38401.46,82733.01,97145.32,60119.3,75376.78
1756459065.844913,0.08946585655212402,baseline,91649.48,38252.59,82495.1,97072.1,59936.11,75938.44
1756459065.8493788,0.09393167495727539,baseline,91659.94,38215.04,82391.3,97078.81,59901.51,76220.34
1756459065.8527868,0.09733963012695312,baseline,91758.11,38301.41,82498.59,97160.88,60026.77,75977.87
1756459065.8573272,0.10188007354736328,baseline,91875.32,38462.88,82753.66,97249.66,60221.23,75360.42
1756459065.8607452,0.10529804229736328,baseline,91755.69,38400.92,82730.86,97143.98,60114.21,75394.22
1756459065.8652174,0.10977029800415039,baseline,91643.58,38248.03,82488.93,97066.74,59928.06,75948.9
1756459065.8686254,0.11317825317382812,baseline,91649.48,38204.31,82381.1,97074.78,59896.41,76211.22
1756459065.8731096,0.11766242980957031,baseline,91752.74,38290.68,82484.1,97162.76,60030.26,75946.22
1756459065.877585,0.12213778495788574,baseline,91870.49,38455.64,82736.23,97252.34,60228.47,75319.12
1756459065.8810108,0.1255636215209961,baseline,91750.6,38396.09,82718.26,97144.79,60122.79,75372.76
1756459065.885487,0.13003993034362793,baseline,91645.99,38249.64,82484.1,97073.98,59938.79,75940.05
1756459065.8889072,0.13346004486083984,baseline,91647.6,38199.75,82378.96,97082.29,59910.63,76194.05
1756459065.8933854,0.1379382610321045,baseline,91754.89,38294.71,82488.12,97165.44,60036.96,75926.37
1756459065.8968027,0.1413555145263672,baseline,91882.56,38465.03,82734.35,97264.41,60237.59,75282.37
1756459065.901281,0.14583396911621094,baseline,91776.08,38418.09,82701.09,97175.9,60144.25,75308.66
1756459065.9046998,0.14925265312194824,baseline,91663.43,38271.1,82471.76,97091.68,59954.89,75870.04
1756459065.9091756,0.15372848510742188,baseline,91662.08,38219.6,82377.62,97090.07,59916.8,76129.68
1756459065.9125962,0.157149076461792,baseline,91770.98,38311.33,82496.44,97178.32,60049.57,75856.63
1756459065.9170804,0.16163325309753418,baseline,91884.71,38473.34,82750.98,97260.66,60238.66,75237.84
1756459065.921566,0.16611886024475098,baseline,91765.89,38409.5,82716.11,97153.91,60124.67,75308.66
1756459065.9249797,0.16953253746032715,baseline,91661.82,38260.91,82475.52,97084.98,59942.82,75858.51
1756459065.9294608,0.17401361465454102,baseline,91665.57,38221.21,82380.84,97094.09,59916.53,76100.44
1756459065.9328763,0.17742919921875,baseline,91768.84,38308.92,82502.61,97177.51,60050.37,75827.13
1756459065.9373565,0.18190932273864746,baseline,91873.98,38461.0,82758.49,97251.54,60231.42,75221.75
1756459065.940768,0.18532085418701172,baseline,91746.31,38390.19,82724.43,97134.86,60102.67,75324.21
1756459065.9452467,0.18979954719543457,baseline,91644.65,38243.21,82486.78,97069.95,59924.04,75888.55
1756459065.9486663,0.19321918487548828,baseline,91646.26,38200.83,82397.2,97075.05,59898.56,76142.02
1756459065.9531484,0.19770121574401855,baseline,91755.43,38298.73,82520.31,97157.93,60029.18,75865.48
1756459065.957663,0.20221590995788574,baseline,91866.74,38454.56,82768.42,97237.32,60215.33,75255.82
1756459065.9610875,0.20564031600952148,baseline,91747.92,38390.19,82720.14,97140.77,60102.14,75349.42
1756459065.9655647,0.21011757850646973,baseline,91643.04,38245.08,82476.86,97078.0,59930.75,75900.62
1756459065.968976,0.21352887153625488,baseline,91645.45,38198.41,82389.69,97081.49,59908.48,76136.12
1756459065.9734495,0.2180023193359375,baseline,91768.03,38311.07,82517.9,97178.58,60052.79,75837.32
1756459065.9768677,0.2214205265045166,baseline,91876.12,38467.71,82771.37,97253.42,60234.91,75234.36
1756459065.9813523,0.225905179977417,baseline,91749.26,38391.8,82719.33,97141.57,60106.43,75348.35
