timestamp,phase_time,phase,ch1,ch2,ch3,ch4,ch5,ch6
1756458804.9629602,0.0011851787567138672,baseline,78100.03,27724.92,66963.23,81613.99,46331.14,52213.49
1756458804.9664795,0.004704475402832031,baseline,78142.68,27713.12,66937.48,81659.59,46375.4,52189.35
1756458804.9700482,0.008273124694824219,baseline,78278.4,27889.34,67130.06,81800.94,46660.78,51454.7
1756458804.9745424,0.012767314910888672,baseline,78278.67,28034.18,67320.23,81792.9,46790.07,50975.12
1756458804.977987,0.016211986541748047,baseline,78151.26,27897.39,67171.1,81649.93,46513.8,51595.78
1756458804.982518,0.02074289321899414,baseline,78093.32,27709.1,66958.94,81607.82,46332.48,52182.38
1756458804.985934,0.024158954620361328,baseline,78140.0,27708.29,66946.33,81658.52,46384.25,52175.41
1756458804.990464,0.028688907623291016,baseline,78274.64,27888.0,67143.21,81798.26,46665.34,51453.62
1756458804.9939125,0.032137393951416016,baseline,78272.5,28031.5,67327.21,81785.65,46776.66,50978.07
1756458804.9984024,0.03662729263305664,baseline,78157.43,27906.24,67187.46,81649.13,46505.22,51613.48
1756458805.0029235,0.04114842414855957,baseline,78121.49,27737.53,66990.86,81628.74,46343.75,52217.25
1756458805.0063403,0.04456520080566406,baseline,78175.13,27741.55,66979.86,81688.29,46408.12,52202.76
1756458805.0108175,0.049042463302612305,baseline,78308.44,27920.72,67177.0,81829.11,46691.9,51477.76
1756458805.0142262,0.052451133728027344,baseline,78306.29,28065.3,67364.76,81814.62,46808.04,51012.94
1756458805.018701,0.05692601203918457,baseline,78172.45,27917.24,67211.6,81666.83,46525.87,51642.72
1756458805.022111,0.06033587455749512,baseline,78113.44,27723.85,66991.93,81619.09,46338.11,52226.1
1756458805.0265925,0.06481742858886719,baseline,78160.38,27723.58,66974.49,81670.32,46393.64,52207.59
1756458805.030045,0.06826996803283691,baseline,78293.15,27900.34,67170.56,81812.74,46681.97,51479.1
1756458805.034526,0.07275104522705078,baseline,78289.13,28041.42,67354.83,81800.41,46797.58,51014.81
1756458805.0379338,0.07615876197814941,baseline,78165.74,27902.75,67199.53,81661.2,46521.85,51642.18
1756458805.0424175,0.0806424617767334,baseline,78119.61,27721.7,66987.91,81631.7,46350.99,52220.2
1756458805.0469205,0.08514547348022461,baseline,78173.25,27727.07,66968.86,81691.78,46417.24,52185.87
1756458805.0503328,0.08855772018432617,baseline,78316.22,27919.92,67169.22,81844.66,46721.67,51438.87
1756458805.0548017,0.09302663803100586,baseline,78309.51,28065.03,67359.39,81824.01,46830.3,50980.48
1756458805.058214,0.09643888473510742,baseline,78178.62,27919.12,67208.38,81669.78,46536.06,51630.11
1756458805.0627933,0.10101819038391113,baseline,78124.97,27728.41,66987.37,81631.43,46352.06,52211.35
1756458805.066235,0.10446000099182129,baseline,78182.91,27735.38,66966.45,81693.39,46418.04,52165.75
1756458805.0707061,0.10893106460571289,baseline,78317.29,27923.41,67166.81,81836.62,46710.94,51428.68
1756458805.074082,0.11230683326721191,baseline,78313.8,28070.39,67352.69,81818.65,46820.64,50971.63
1756458805.0785482,0.11677312850952148,baseline,78193.37,27927.7,67203.02,81682.39,46547.86,51608.65
1756458805.083037,0.1212618350982666,baseline,78156.62,27759.79,67003.19,81658.79,46385.86,52196.33
1756458805.0864418,0.12466669082641602,baseline,78203.56,27761.4,66990.59,81706.26,46439.77,52166.55
1756458805.090917,0.12914204597473145,baseline,78339.02,27944.86,67188.54,81851.37,46733.74,51420.1
1756458805.0943332,0.13255810737609863,baseline,78331.24,28083.8,67370.12,81833.13,46841.56,50955.54
1756458805.0988586,0.1370835304260254,baseline,78200.34,27934.4,67214.82,81688.29,46560.2,51595.24
1756458805.1022854,0.14051032066345215,baseline,78146.16,27749.06,67009.36,81644.03,46373.25,52193.11
1756458805.106764,0.144989013671875,baseline,78185.32,27740.75,66994.34,81686.95,46417.78,52180.5
1756458805.1101806,0.1484055519104004,baseline,78321.31,27923.41,67186.93,81828.3,46698.07,51444.5
1756458805.114703,0.15292787551879883,baseline,78312.73,28064.76,67369.85,81808.18,46804.82,51001.13
1756458805.1181297,0.15635466575622559,baseline,78180.76,27907.31,67211.07,81661.74,46519.97,51651.3
1756458805.1226103,0.16083526611328125,baseline,78137.31,27729.48,66999.71,81633.84,46353.67,52226.1
1756458805.1260278,0.16425275802612305,baseline,78186.4,27735.38,66984.42,81689.9,46416.43,52191.5
1756458805.1305184,0.16874337196350098,baseline,78314.61,27914.02,67178.34,81829.11,46706.38,51446.38
1756458805.135,0.17322492599487305,baseline,78309.51,28056.18,67357.78,81814.89,46815.01,50990.94
1756458805.138413,0.17663788795471191,baseline,78193.91,27916.43,67203.56,81684.27,46548.13,51624.21
1756458805.1428938,0.18111872673034668,baseline,78149.92,27744.77,67000.51,81649.13,46379.42,52203.57
1756458805.146309,0.18453383445739746,baseline,78192.57,27743.43,66989.78,81694.46,46427.43,52175.94
1756458805.1507847,0.1890096664428711,baseline,78319.7,27919.92,67186.39,81832.59,46712.55,51434.85
1756458805.1542003,0.19242525100708008,baseline,78314.07,28059.13,67363.15,81815.69,46820.11,50983.97
1756458805.1586778,0.19690275192260742,baseline,78194.18,27918.31,67206.51,81677.83,46545.18,51630.65
1756458805.1620948,0.20031976699829102,baseline,78141.87,27732.43,66999.17,81644.03,46375.66,52214.3
1756458805.1666298,0.20485472679138184,baseline,78198.2,27742.36,66979.59,81708.14,46447.55,52149.39
1756458805.1711135,0.20933842658996582,baseline,78338.75,27939.77,67187.73,81855.12,46748.49,51398.64
1756458805.1745286,0.2127535343170166,baseline,78336.33,28083.0,67370.93,81837.69,46853.1,50955.0
1756458805.1790056,0.21723055839538574,baseline,78205.44,27927.43,67218.31,81688.83,46565.57,51613.75
1756458805.1824164,0.2206413745880127,baseline,78160.38,27749.6,67017.41,81649.4,46383.18,52208.93
1756458805.1868951,0.22512006759643555,baseline,78210.81,27752.82,67004.54,81702.77,46442.18,52174.06
1756458805.190314,0.22853899002075195,baseline,78344.11,27937.62,67199.0,81847.08,46731.33,51419.56
1756458805.1947968,0.23302173614501953,baseline,78327.75,28068.78,67373.34,81823.2,46833.52,50974.58
1756458805.1982126,0.23643755912780762,baseline,78199.54,27918.85,67217.77,81672.73,46544.11,51639.23
1756458805.202684,0.24090886116027832,baseline,78147.24,27730.56,67008.83,81638.13,46372.45,52222.08
1756458805.207209,0.24543404579162598,baseline,78194.18,27734.31,66995.15,81689.9,46431.45,52183.99
1756458805.2106295,0.248854398727417,baseline,78332.58,27928.77,67192.29,81833.13,46717.91,51428.41
1756458805.2151062,0.25333118438720703,baseline,78329.36,28069.05,67353.76,81821.33,46825.47,50956.88
1756458805.218527,0.25675201416015625,baseline,78204.9,27913.48,67188.54,81687.49,46562.88,51580.49
1756458805.2230787,0.2613036632537842,baseline,78152.33,27734.31,66984.69,81649.93,46394.17,52155.29
1756458805.2265058,0.26473069190979004,baseline,78202.22,27744.5,66982.54,81700.9,46452.64,52115.32
1756458805.2309906,0.26921558380126953,baseline,78335.26,27933.06,67190.14,81839.03,46735.89,51371.55
1756458805.2344077,0.2726325988769531,baseline,78323.46,28065.3,67364.49,81817.04,46832.98,50938.1
1756458805.2388895,0.2771143913269043,baseline,78199.0,27916.43,67209.19,81673.0,46547.06,51604.1
1756458805.242302,0.28052687644958496,baseline,78149.65,27731.36,67002.93,81637.86,46374.86,52182.65
1756458805.2467842,0.28500914573669434,baseline,78201.95,27742.89,66997.03,81695.53,46443.52,52138.39
1756458805.2501993,0.2884242534637451,baseline,78340.89,27939.77,67202.21,81842.25,46737.49,51383.08
1756458805.2546756,0.29290056228637695,baseline,78332.85,28077.9,67374.95,81824.28,46838.88,50943.47
1756458805.259157,0.2973818778991699,baseline,78208.39,27921.53,67215.36,81688.56,46568.78,51591.22
1756458805.2625766,0.30080151557922363,baseline,78181.57,27759.26,67020.9,81671.66,46416.43,52161.19
1756458805.2671082,0.30533313751220703,baseline,78236.02,27772.13,67014.19,81730.4,46487.51,52097.35
1756458805.2705216,0.3087465763092041,baseline,78361.01,27958.28,67214.55,81867.19,46775.31,51326.49
1756458805.2749977,0.31322264671325684,baseline,78343.57,28088.63,67385.14,81835.27,46862.22,50891.97
1756458805.2784083,0.3166332244873047,baseline,78226.36,27941.65,67229.04,81697.95,46576.03,51552.6
1756458805.2828925,0.3211174011230469,baseline,78180.76,27757.38,67026.8,81668.98,46416.43,52125.52
1756458805.2863114,0.3245363235473633,baseline,78229.85,27765.16,67020.09,81723.43,46479.73,52078.85
1756458805.2908018,0.3290266990661621,baseline,78365.03,27960.96,67220.45,81868.53,46773.17,51312.27
1756458805.2952828,0.333507776260376,baseline,78358.06,28100.43,67389.97,81851.9,46872.41,50874.27
1756458805.2986894,0.3369143009185791,baseline,78230.12,27940.84,67225.28,81709.21,46592.92,51531.94
1756458805.3032131,0.34143805503845215,baseline,78171.91,27752.55,67019.82,81655.3,46402.49,52114.25
1756458805.3066382,0.3448631763458252,baseline,78213.49,27753.62,67013.92,81699.82,46450.77,52076.16
1756458805.3111224,0.3493473529815674,baseline,78349.74,27947.01,67215.36,81848.69,46746.08,51311.2
1756458805.314598,0.35282301902770996,baseline,78326.68,28071.46,67387.56,81817.57,46835.4,50905.38
1756458805.31909,0.3573148250579834,baseline,78194.71,27906.51,67225.82,81664.42,46535.52,51598.19
1756458805.3225067,0.3607316017150879,baseline,78157.16,27730.29,67019.29,81631.16,46363.59,52182.92
1756458805.3269854,0.36521029472351074,baseline,78209.73,27740.48,67008.56,81691.51,46435.48,52127.13
1756458805.330437,0.36866188049316406,baseline,78340.62,27933.6,67207.85,81837.96,46737.23,51356.8
1756458805.334936,0.37316083908081055,baseline,78322.39,28062.61,67372.53,81812.74,46828.42,50936.23
1756458805.3383532,0.37657809257507324,baseline,78203.03,27909.19,67209.19,81675.95,46548.67,51606.51
1756458805.3428328,0.3810577392578125,baseline,78157.16,27728.41,67005.61,81645.91,46387.73,52178.62
1756458805.3473172,0.3855421543121338,baseline,78212.68,27743.7,66998.1,81706.26,46460.96,52118.81
1756458805.350734,0.3889589309692383,baseline,78355.11,27949.16,67203.56,81854.32,46756.0,51344.73
1756458805.3552144,0.39343929290771484,baseline,78341.7,28087.56,67378.7,81828.3,46844.52,50938.1
1756458805.3586261,0.3968510627746582,baseline,78210.54,27920.19,67216.97,81680.78,46555.37,51626.89
1756458805.3631089,0.4013338088989258,baseline,78164.14,27738.33,67012.05,81644.3,46382.91,52207.06
1756458805.3665833,0.40480828285217285,baseline,78215.63,27749.06,67002.66,81700.09,46448.08,52148.58
1756458805.371062,0.4092869758605957,baseline,78352.43,27946.74,67210.53,81844.66,46741.79,51386.3
1756458805.374468,0.4126930236816406,baseline,78338.48,28079.51,67377.9,81819.18,46831.1,50978.34
1756458805.3789463,0.4171712398529053,baseline,78215.1,27919.12,67208.92,81679.44,46550.01,51649.16
1756458805.3823678,0.4205927848815918,baseline,78167.89,27739.68,67007.22,81648.06,46388.54,52215.91
1756458805.3868482,0.42507314682006836,baseline,78219.39,27752.82,66998.9,81705.46,46458.81,52149.66
1756458805.3913388,0.4295637607574463,baseline,78358.86,27955.06,67205.16,81857.81,46760.83,51374.23
1756458805.3947546,0.4329795837402344,baseline,78344.92,28091.58,67371.73,81832.86,46847.2,50966.27
1756458805.399234,0.43745899200439453,baseline,78219.93,27926.09,67204.9,81692.31,46566.1,51638.16
1756458805.4026496,0.4408745765686035,baseline,78175.4,27745.84,67005.34,81657.44,46397.93,52208.67
1756458805.4071398,0.44536471366882324,baseline,78226.36,27758.45,67002.66,81707.6,46452.91,52156.9
1756458805.410554,0.4487788677215576,baseline,78358.33,27953.72,67202.75,81852.71,46743.93,51389.25
1756458805.415032,0.45325684547424316,baseline,78348.13,28084.61,67354.83,81836.08,46843.17,50958.22
1756458805.4184432,0.4566681385040283,baseline,78237.09,27936.82,67191.49,81710.28,46583.27,51614.02
1756458805.4229245,0.4611494541168213,baseline,78194.44,27760.86,66995.15,81683.46,46427.43,52173.26
1756458805.4274485,0.46567344665527344,baseline,78243.8,27776.42,66990.32,81742.47,46497.97,52102.18
1756458805.43088,0.4691050052642822,baseline,78383.81,27981.61,67194.97,81894.82,46801.6,51316.56
1756458805.4353642,0.4735891819000244,baseline,78372.54,28116.53,67359.66,81868.8,46888.24,50910.48
1756458805.438778,0.4770028591156006,baseline,78244.33,27952.11,67194.17,81724.23,46600.7,51597.39
1756458805.4432874,0.48151230812072754,baseline,78189.88,27761.13,66993.54,81685.88,46430.38,52168.16
1756458805.4467072,0.48493218421936035,baseline,78243.8,27779.37,66997.56,81743.28,46500.39,52114.79
1756458805.451191,0.48941588401794434,baseline,78375.76,27977.05,67210.8,81883.02,46784.17,51354.65
1756458805.4546058,0.492830753326416,baseline,78352.69,28100.43,67374.41,81850.56,46856.58,50969.75
1756458805.459088,0.4973130226135254,baseline,78227.17,27928.77,67203.56,81708.14,46574.15,51660.96
1756458805.4625006,0.500725507736206,baseline,78188.54,27752.01,67001.32,81678.37,46411.34,52222.08
1756458805.4670465,0.5052714347839355,baseline,78244.33,27773.47,66998.1,81740.06,46486.98,52148.05
1756458805.4704573,0.5086822509765625,baseline,78369.59,27969.81,67206.24,81879.26,46778.8,51382.28
1756458805.4749315,0.5131564140319824,baseline,78347.06,28091.85,67367.17,81847.34,46855.24,50996.84
1756458805.479411,0.5176358222961426,baseline,78232.53,27931.99,67199.53,81709.75,46572.27,51682.95
1756458805.4828289,0.5210537910461426,baseline,78198.74,27758.45,67002.39,81689.9,46426.63,52238.17
1756458805.4873111,0.525536060333252,baseline,78250.23,27776.15,67003.46,81749.44,46503.07,52163.07
1756458805.4907339,0.528958797454834,baseline,78384.34,27979.47,67211.87,81893.75,46798.11,51383.62
1756458805.495214,0.5334389209747314,baseline,78366.11,28106.33,67374.14,81862.1,46875.09,50992.28
1756458805.4986243,0.5368492603302002,baseline,78245.14,27942.99,67207.31,81719.14,46587.02,51683.22
1756458805.5031006,0.541325569152832,baseline,78199.0,27758.45,67005.61,81687.75,46424.48,52240.58
1756458805.5065148,0.5447397232055664,baseline,78254.26,27777.76,67003.46,81750.52,46501.19,52156.9
1756458805.5109942,0.5492191314697266,baseline,78392.12,27984.83,67215.09,81898.84,46804.01,51374.5
1756458805.5154681,0.5536930561065674,baseline,78366.37,28106.07,67373.88,81859.95,46868.65,50993.89
1756458805.5188832,0.5571081638336182,baseline,78239.77,27931.99,67202.48,81714.04,46576.03,51690.19
1756458805.5233629,0.5615878105163574,baseline,78201.42,27758.18,67001.59,81686.14,46420.73,52254.26
1756458805.5267773,0.5650022029876709,baseline,78255.33,27774.01,66992.73,81741.67,46491.8,52167.36
1756458805.5312572,0.5694820880889893,baseline,78387.56,27976.25,67197.39,81888.92,46790.6,51381.47
1756458805.53471,0.5729348659515381,baseline,78361.81,28097.75,67354.56,81851.37,46862.22,51003.82
1756458805.5392036,0.5774285793304443,baseline,78234.14,27922.6,67179.42,81707.6,46576.56,51698.24
1756458805.5426164,0.5808413028717041,baseline,78193.64,27744.24,66986.3,81674.88,46418.04,52266.6
1756458805.547096,0.5853209495544434,baseline,78256.13,27771.06,66984.96,81739.25,46491.54,52182.92
1756458805.5505497,0.5887746810913086,baseline,78391.85,27978.66,67187.73,81891.06,46793.28,51393.01
1756458805.5550368,0.59326171875,baseline,78370.13,28096.41,67334.45,81864.24,46874.82,50993.62
