timestamp,recording_time,ch1,ch2,ch3,ch4,ch5,ch6
1756460993.4707427,0.0004062652587890625,110308.27,62564.94,109279.91,117691.58,62625.56,117208.25
1756460993.4753683,0.0050318241119384766,109676.87,62083.75,109124.07,117882.02,63650.97,117764.81
1756460993.4798722,0.009535789489746094,109374.59,61792.73,108941.41,118000.57,64556.22,120526.68
1756460993.4833136,0.012977123260498047,109684.65,62028.5,109013.03,117896.77,64046.06,120363.87
1756460993.4877958,0.017459392547607422,110312.56,62571.11,109269.18,117690.24,62608.66,117146.56
1756460993.4912105,0.0208740234375,110299.15,62613.22,109346.96,117672.27,62323.81,115350.55
1756460993.4956968,0.0253603458404541,109669.63,62083.75,109119.78,117881.75,63670.28,117798.34
1756460993.4991152,0.028778791427612305,109371.91,61791.93,108946.24,117991.72,64561.85,120549.75
1756460993.5035932,0.03325676918029785,109685.99,62031.72,109022.95,117886.85,64037.48,120358.5
1756460993.5070183,0.0366818904876709,110318.19,62577.01,109274.27,117679.25,62590.42,117109.54
1756460993.5115056,0.041169166564941406,110297.0,62611.88,109343.74,117670.13,62330.25,115358.06
1756460993.5149205,0.044584035873413086,109668.83,62081.88,109113.07,117886.04,63683.96,117831.86
1756460993.519487,0.04915046691894531,109374.86,61793.0,108937.66,117992.53,64561.04,120561.01
1756460993.5229063,0.05256986618041992,109689.75,62032.26,109017.86,117886.85,64027.02,120340.53
1756460993.5273852,0.057048797607421875,110318.19,62574.6,109271.59,117680.85,62578.62,117078.7
1756460993.531863,0.06152653694152832,110286.54,62603.84,109352.6,117666.91,62342.05,115394.81
1756460993.5352714,0.06493496894836426,109655.68,62072.76,109127.83,117875.85,63702.47,117913.94
1756460993.5397577,0.06942129135131836,109372.18,61789.52,108953.75,117985.82,64563.19,120623.24
1756460993.543177,0.07284045219421387,109700.21,62038.16,109036.63,117883.9,64014.14,120363.87
1756460993.5476596,0.07732319831848145,110331.07,62589.62,109292.78,117683.81,62566.82,117079.24
1756460993.551074,0.08073759078979492,110281.44,62599.54,109351.25,117679.25,62353.85,115426.19
1756460993.5555575,0.0852210521697998,109653.0,62067.39,109111.2,117892.21,63718.02,117948.54
1756460993.5589736,0.08863711357116699,109370.3,61787.64,108939.53,117992.8,64565.87,120628.07
1756460993.5634553,0.09311890602111816,109702.62,62041.11,109025.9,117883.09,64002.34,120324.71
1756460993.5679448,0.09760832786560059,110333.48,62592.84,109289.03,117675.22,62550.46,117025.59
1756460993.5713632,0.10102677345275879,110276.08,62596.86,109350.72,117674.15,62362.97,115431.55
1756460993.5758488,0.10551238059997559,109644.42,62060.42,109106.64,117889.26,63728.22,117975.36
1756460993.5792644,0.10892796516418457,109366.54,61782.81,108928.27,117986.09,64557.82,120629.14
1756460993.5837483,0.11341190338134766,109702.89,62041.11,109016.51,117875.31,63983.03,120297.62
1756460993.587163,0.11682653427124023,110333.48,62591.5,109279.91,117674.69,62536.78,116973.82
