timestamp,recording_time,ch1,ch2,ch3,ch4,ch5,ch6
1756460276.8412058,0.44165563583374023,103160.18,52487.88,101675.58,104191.49,58829.16,92184.31
1756460276.8481438,0.4485936164855957,102522.89,51857.3,101456.98,104433.96,59890.51,93393.18
1756460276.8526385,0.45308828353881836,102357.39,51660.42,101330.91,104529.71,60304.38,94668.3
1756460276.8571267,0.4575765132904053,102669.87,51966.46,101433.91,104418.67,59801.73,94184.7
1756460276.865068,0.4655177593231201,103014.8,52368.26,101682.82,104208.65,58954.42,91815.78
1756460276.872994,0.47344374656677246,102359.81,51664.98,101324.74,104539.64,60307.6,94684.13
1756460276.8808742,0.4813239574432373,103170.91,52498.88,101668.87,104203.29,58825.41,92182.16
1756460276.896636,0.4970858097076416,102665.04,51966.73,101405.75,104415.45,59780.81,94141.52
1756460276.901127,0.5015769004821777,103164.74,52494.59,101647.41,104197.66,58817.36,92142.74
1756460276.9090073,0.5094571113586426,102507.33,51841.47,101414.06,104446.03,59911.17,93419.47
1756460276.91688,0.5173296928405762,102669.07,51968.34,101401.99,104414.65,59774.1,94121.13
1756460276.9248278,0.5252776145935059,103004.34,52363.43,101631.86,104222.87,58965.95,91777.96
1756460276.9327092,0.5331590175628662,102350.42,51653.45,101282.36,104530.52,60292.31,94641.21
1756460276.9372067,0.5376565456390381,102676.58,51974.24,101394.48,104412.77,59764.18,94092.17
1756460276.9451632,0.5456130504608154,103000.05,52358.06,101624.61,104220.72,58972.12,91770.18
1756460276.9530563,0.5535061359405518,102362.22,51664.18,101288.27,104529.18,60294.72,94641.21
1756460276.9609413,0.5613911151885986,103181.37,52511.75,101641.51,104194.71,58802.61,92074.07
1756460276.9688644,0.5693142414093018,102508.13,51837.98,101407.09,104448.71,59928.33,93436.9
1756460276.9767494,0.5771992206573486,102698.03,51991.41,101406.28,104412.77,59757.21,94064.81
1756460276.98123,0.5816798210144043,103187.27,52511.75,101642.85,104195.51,58798.85,92055.83
1756460276.9891036,0.5895533561706543,102503.84,51829.13,101397.16,104448.71,59930.21,93441.46
1756460276.9969778,0.5974276065826416,102700.72,51993.55,101406.55,104412.23,59746.75,94046.84
1756460277.004871,0.6053206920623779,102998.17,52346.26,101614.69,104232.26,58989.56,91768.84
1756460277.0127594,0.6132092475891113,102367.05,51664.44,101275.66,104538.57,60298.21,94606.88
1756460277.0172458,0.6176955699920654,102709.03,52001.6,101401.72,104417.87,59748.62,94013.04
1756460277.0251157,0.6255655288696289,102996.56,52344.92,101619.25,104237.09,59009.41,91773.4
1756460277.032997,0.6334466934204102,102375.1,51671.15,101285.85,104539.91,60301.16,94610.37
1756460277.0408711,0.6413209438323975,103194.24,52516.05,101642.58,104197.93,58790.81,91985.56
1756460277.0488298,0.6492795944213867,102499.82,51822.7,101393.68,104460.78,59962.93,93461.31
1756460277.0533154,0.6537652015686035,102377.51,51671.15,101288.8,104537.23,60299.28,94618.42
1756460277.0611904,0.6616401672363281,103197.46,52519.8,101660.29,104187.46,58784.1,92002.46
1756460277.0690646,0.6695144176483154,102502.77,51821.89,101398.77,104458.1,59961.86,93493.5
1756460277.0769453,0.6773951053619385,102724.86,52012.06,101417.01,104404.19,59721.26,93995.87
1756460277.0893142,0.6897640228271484,102503.04,51817.33,101403.33,104459.98,59970.98,93532.12
1756460277.0972009,0.697650671005249,102729.95,52012.6,101419.43,104400.7,59710.27,94000.43
1756460277.1050751,0.7055249214172363,102995.76,52333.39,101625.96,104242.18,59031.4,91854.67
1756460277.1129549,0.713404655456543,102382.61,51669.27,101276.73,104542.59,60296.06,94641.75
1756460277.1253157,0.7257654666900635,102994.15,52335.0,101609.86,104256.13,59050.98,91829.19
1756460277.1331897,0.7336394786834717,102394.41,51685.9,101279.15,104542.05,60297.4,94632.63
1756460277.1410701,0.7415199279785156,103214.36,52530.26,101649.56,104194.71,58779.27,91948.54
1756460277.1490116,0.7494614124298096,102497.4,51813.84,101373.02,104470.97,59999.95,93537.49
1756460277.1568894,0.7573392391204834,102746.58,52032.98,101397.16,104403.38,59697.12,93914.6
1756460277.161373,0.7618227005004883,103210.34,52529.99,101632.93,104191.49,58769.89,91909.92
1756460277.1692467,0.7696964740753174,102487.48,51805.53,101365.78,104467.49,60001.82,93539.09
1756460277.1771297,0.7775795459747314,102747.39,52032.71,101404.67,104397.21,59687.47,93905.75
1756460277.1850033,0.7854530811309814,102974.84,52314.88,101605.03,104246.74,59061.71,91852.52
1756460277.1894858,0.7899355888366699,102487.75,51799.63,101369.0,104473.66,60007.19,93559.75
1756460277.192899,0.7933487892150879,102388.24,51671.42,101266.54,104536.69,60285.87,94615.73
1756460277.197383,0.797832727432251,102758.12,52037.54,101400.38,104407.41,59683.98,93878.93
1756460277.2052574,0.8057072162628174,102976.72,52314.34,101604.77,104252.91,59076.19,91867.27
1756460277.2131271,0.8135769367218018,102406.21,51687.24,101273.78,104540.71,60288.82,94629.41
1756460277.2210076,0.8214573860168457,103217.31,52532.68,101629.98,104192.56,58760.23,91866.47
1756460277.2254932,0.8259429931640625,102978.06,52314.61,101585.45,104259.08,59079.68,91846.08
1756460277.2289078,0.8293576240539551,102490.43,51798.56,101353.71,104483.85,60025.43,93563.23
1756460277.233387,0.8338367938995361,102394.94,51675.71,101262.25,104538.83,60291.77,94609.3
1756460277.2412567,0.8417065143585205,103217.58,52531.07,101631.32,104189.61,58757.82,91851.72
1756460277.2492025,0.8496522903442383,102482.12,51790.24,101348.88,104479.83,60028.91,93567.53
1756460277.2570834,0.8575332164764404,102772.33,52053.1,101407.09,104399.09,59666.55,93827.16
1756460277.2615685,0.862018346786499,103224.55,52539.92,101636.95,104191.49,58759.96,91839.11
1756460277.2649856,0.8654353618621826,102965.45,52301.2,101586.79,104256.67,59096.85,91868.08
1756460277.2694683,0.8699181079864502,102478.9,51786.49,101351.83,104479.02,60036.42,93596.49
1756460277.2728894,0.8733391761779785,102399.24,51679.2,101264.13,104536.15,60287.75,94613.59
1756460277.2773752,0.8778250217437744,102780.38,52058.46,101413.79,104397.75,59656.36,93829.31
1756460277.2852566,0.8857064247131348,102968.13,52299.32,101591.89,104259.08,59099.53,91889.54
1756460277.2931364,0.8935861587524414,102397.09,51676.25,101253.66,104535.08,60279.7,94595.62
1756460277.2976267,0.8980765342712402,102779.31,52058.46,101401.19,104393.73,59641.87,93789.88
1756460277.3010452,0.9014949798583984,103220.26,52535.63,101634.54,104183.98,58744.14,91813.63
1756460277.305532,0.9059817790985107,102957.94,52289.94,101586.79,104259.35,59106.23,91890.88
1756460277.3089519,0.9094016551971436,102478.36,51782.19,101354.78,104484.92,60045.01,93626.0
