timestamp,recording_time,ch1,ch2,ch3,ch4,ch5,ch6
1756460929.6322157,0.00037217140197753906,109722.47,61130.5,110198.83,118084.8,63995.63,119534.26
1756460929.636861,0.005017518997192383,110267.76,61646.02,110497.63,117946.93,62466.77,115643.72
1756460929.6447854,0.012941837310791016,109501.46,61011.94,110278.23,118110.81,64316.69,118230.71
1756460929.6526785,0.020834922790527344,109715.5,61129.69,110209.02,118091.23,64052.76,119740.79
1756460929.6571603,0.025316715240478516,110291.1,61659.97,110493.88,117948.0,62409.11,115565.93
1756460929.6650097,0.03316617012023926,109494.22,61007.92,110257.04,118090.43,64182.32,117625.87
1756460929.672941,0.041097402572631836,109683.04,61113.87,110238.8,118085.33,64210.48,120048.44
1756460929.680816,0.048972368240356445,110109.51,61545.7,110509.97,117942.64,62556.36,114421.17
1756460929.6886823,0.0568387508392334,109290.9,60798.44,110103.08,118153.19,65030.7,120876.71
1756460929.693154,0.061310529708862305,109679.29,61111.19,110228.34,118084.8,64210.21,120154.39
1756460929.7010064,0.06916284561157227,110092.35,61532.02,110496.56,117939.15,62571.38,114534.62
1756460929.708891,0.07704734802246094,109276.69,60786.37,110098.25,118152.12,65034.45,120979.17
1756460929.716765,0.08492136001586914,110272.06,61644.14,110498.7,117938.61,62466.77,115919.98
1756460929.721244,0.0894005298614502,110078.4,61520.49,110498.17,117938.88,62578.89,114634.94
1756460929.729155,0.09731149673461914,109282.86,60788.52,110091.28,118160.43,65028.55,121044.88
1756460929.737089,0.10524535179138184,110272.32,61645.75,110483.41,117946.39,62448.0,115888.6
1756460929.7449677,0.11312413215637207,109448.35,60967.42,110222.44,118098.74,64260.9,118086.67
1756460929.7528732,0.12102961540222168,109675.0,61108.77,110214.66,118078.36,64146.64,120172.09
1756460929.760753,0.12890934944152832,110051.04,61495.55,110474.03,117945.05,62588.81,114643.79
1756460929.765235,0.1333913803100586,109441.11,60961.52,110220.29,118093.91,64266.8,118112.42
1756460929.773297,0.14145350456237793,109675.0,61106.89,110218.95,118076.75,64123.57,120130.78
1756460929.776756,0.1449124813079834,110264.81,61641.46,110490.92,117936.47,62401.06,115791.77
1756460929.7813568,0.14951324462890625,110037.9,61488.84,110485.29,117937.54,62589.62,114668.2
1756460929.784783,0.1529393196105957,109422.33,60947.57,110231.56,118081.58,64265.46,118166.87
1756460929.7892778,0.15743422508239746,109258.72,60770.01,110101.74,118136.29,64996.1,121069.56
1756460929.797209,0.16536545753479004,110255.7,61635.83,110498.7,117932.98,62380.14,115754.22
