timestamp,recording_time,ch1,ch2,ch3,ch4,ch5,ch6
1756460416.4284706,0.0003733634948730469,105338.4,55495.71,106699.89,111302.83,63858.04,104924.8
1756460416.5226333,0.09453606605529785,105263.3,55503.22,106617.01,111304.17,63836.31,104280.54
1756460416.5260656,0.09796833992004395,105319.89,55498.39,106579.73,111330.72,63846.23,104951.63
1756460416.5305498,0.10245251655578613,105597.5,55692.85,106673.07,111031.93,62893.25,103770.38
1756460416.5339727,0.10587549209594727,105761.92,55873.64,106802.08,110733.4,62060.42,101971.69
1756460416.5384583,0.11036109924316406,105499.87,55721.02,106758.36,110957.36,62804.46,102528.52
1756460416.5418785,0.11378121376037598,105254.45,55505.37,106620.23,111313.83,63832.29,104292.61
1756460416.5463636,0.11826634407043457,105306.48,55492.23,106570.61,111336.89,63840.87,104948.41
1756460416.5497794,0.12168216705322266,105592.94,55695.54,106657.78,111040.51,62894.59,103763.68
1756460416.554265,0.12616777420043945,105752.8,55872.83,106779.02,110739.83,62069.27,101971.69
1756460416.557681,0.12958383560180664,105489.68,55717.26,106730.2,110967.55,62815.46,102531.74
1756460416.5621657,0.13406848907470703,105252.57,55511.27,106603.87,111325.9,63843.02,104299.31
1756460416.5655859,0.13748860359191895,105315.87,55509.39,106573.02,111344.94,63848.38,104970.94
1756460416.57008,0.1419827938079834,105598.04,55705.19,106669.58,111042.66,62896.46,103792.64
1756460416.5745997,0.14650249481201172,105756.56,55878.46,106798.6,110743.32,62068.47,101999.32
1756460416.5781512,0.1500539779663086,105485.65,55711.63,106751.39,110970.77,62813.05,102540.05
1756460416.582643,0.15454578399658203,105233.53,55490.35,106632.03,111321.34,63834.16,104286.44
1756460416.5860646,0.15796732902526855,105290.39,55485.25,106626.13,111337.43,63835.51,104948.94
1756460416.590538,0.16244077682495117,105571.75,55686.42,106731.54,111034.34,62883.86,103767.43
1756460416.5939817,0.16588449478149414,105728.93,55864.78,106867.8,110733.13,62061.22,101992.08
1756460416.5984669,0.17036962509155273,105469.29,55709.22,106829.17,110965.14,62811.44,102546.76
1756460416.60188,0.1737828254699707,105224.41,55494.64,106716.52,111318.92,63835.24,104308.7
1756460416.606355,0.17825770378112793,105285.56,55493.83,106692.38,111340.65,63837.92,104966.38
1756460416.6097765,0.18167924880981445,105567.46,55699.02,106787.06,111040.24,62886.0,103780.04
1756460416.6142528,0.1861555576324463,105718.74,55871.22,106910.18,110739.83,62066.05,102005.22
1756460416.6176624,0.18956518173217773,105458.3,55717.26,106870.75,110968.89,62816.27,102575.46
1756460416.6221337,0.19403648376464844,105223.87,55519.32,106757.56,111327.51,63837.38,104342.76
1756460416.6266084,0.19851112365722656,105284.49,55522.53,106737.71,111345.48,63834.97,105005.54
1756460416.6300206,0.20192337036132812,105558.61,55714.85,106819.79,111045.61,62881.71,103808.74
1756460416.6344972,0.20639991760253906,105710.96,55892.14,106935.39,110745.47,62065.78,102032.04
1756460416.6379082,0.20981097221374512,105454.0,55752.67,106902.93,110976.14,62819.22,102613.54
1756460416.642381,0.21428370475769043,105215.29,55552.84,106788.4,111334.75,63838.99,104373.88
1756460416.645792,0.21769475936889648,105272.69,55550.97,106758.9,111355.94,63834.7,105020.83
1756460416.6502793,0.222182035446167,105541.98,55734.43,106831.85,111054.99,62881.18,103814.37
1756460416.6536994,0.2256021499633789,105692.18,55906.9,106940.48,110758.07,62067.66,102035.53
1756460416.6581824,0.23008513450622559,105432.01,55766.35,106896.23,110993.57,62821.36,102609.25
1756460416.662667,0.23456978797912598,105191.68,55565.72,106779.82,111350.84,63840.87,104375.49
1756460416.6660829,0.23798561096191406,105252.03,55565.45,106760.24,111361.3,63830.95,105042.29
