timestamp,recording_time,ch1,ch2,ch3,ch4,ch5,ch6
1756460766.7082095,0.00037980079650878906,110527.94,61777.45,110630.67,118523.07,62555.82,113064.5
1756460766.7107346,0.0029048919677734375,110064.72,61440.83,110656.15,118415.24,63716.15,114160.19
1756460766.7141938,0.006364107131958008,109519.7,60923.7,110695.04,118343.36,65619.44,118796.39
1756460766.7187085,0.010878801345825195,109567.17,60894.73,110705.77,118377.42,65766.96,120679.83
1756460766.7221322,0.014302492141723633,110110.32,61344.54,110675.73,118478.81,64185.0,117872.63
1756460766.7266426,0.018812894821166992,110534.11,61783.62,110630.4,118522.0,62555.29,113035.27
1756460766.730106,0.02227640151977539,110057.75,61433.05,110656.42,118408.54,63737.87,114195.32
1756460766.734641,0.02681136131286621,109521.84,60925.04,110704.97,118339.07,65637.95,118848.42
1756460766.738073,0.030243396759033203,109574.41,60897.95,110722.13,118373.4,65767.5,120704.24
1756460766.7425587,0.03472900390625,110116.22,61349.1,110692.36,118472.91,64170.25,117863.78
1756460766.7504377,0.042608022689819336,110052.12,61429.03,110665.54,118407.73,63750.21,114248.7
1756460766.7583141,0.050484418869018555,109582.73,60899.02,110718.64,118385.74,65759.99,120706.39
1756460766.7628963,0.055066585540771484,110125.61,61350.17,110683.24,118482.84,64154.15,117820.6
1756460766.7663271,0.05849742889404297,110531.96,61779.06,110644.35,118516.9,62553.41,113035.27
1756460766.7708132,0.06298351287841797,110049.16,61418.03,110660.98,118408.27,63771.13,114289.74
1756460766.7742255,0.06639575958251953,109524.79,60923.16,110705.23,118340.68,65651.36,118927.28
1756460766.778732,0.07090234756469727,109589.43,60909.75,110711.94,118379.03,65749.53,120699.14
1756460766.7821488,0.07431912422180176,110125.34,61352.85,110673.58,118478.01,64129.74,117771.51
1756460766.7866304,0.07880067825317383,110530.89,61776.91,110632.01,118512.88,62547.78,113007.91
1756460766.7946272,0.08679747581481934,109526.94,60925.04,110697.19,118342.02,65662.89,118959.2
1756460766.7980623,0.09023261070251465,109597.48,60912.7,110703.89,118384.13,65744.43,120694.32
1756460766.8029091,0.09507942199707031,110137.68,61359.56,110665.54,118483.37,64113.38,117724.31
1756460766.806333,0.09850335121154785,110533.04,61779.32,110623.96,118516.36,62546.97,112976.53
1756460766.8108146,0.10298490524291992,110041.12,61411.32,110645.69,118405.05,63803.32,114340.16
1756460766.814228,0.10639834403991699,109521.57,60918.07,110692.63,118344.43,65672.28,118982.26
1756460766.8187566,0.11092686653137207,109604.19,60921.55,110691.29,118394.59,65735.85,120659.72
1756460766.8221831,0.11435341835021973,110147.07,61372.43,110654.54,118491.42,64097.02,117648.13
1756460766.8266702,0.11884045600891113,110537.33,61788.98,110622.62,118521.73,62552.07,112942.46
1756460766.8300874,0.12225770950317383,110040.31,61416.69,110651.86,118403.17,63825.58,114372.08
1756460766.8345726,0.12674283981323242,109519.7,60915.12,110691.29,118338.26,65682.21,119015.25
1756460766.842444,0.1346142292022705,110151.89,61375.11,110674.92,118476.93,64072.88,117625.06
1756460766.8469613,0.1391315460205078,110538.94,61784.96,110634.69,118512.34,62543.22,112937.1
1756460766.8503911,0.1425614356994629,110039.78,61403.81,110649.71,118403.98,63838.19,114401.05
1756460766.8548765,0.14704680442810059,109515.67,60897.95,110685.12,118342.82,65690.25,119031.88
1756460766.85829,0.15046024322509766,109608.75,60912.7,110700.41,118382.79,65720.29,120654.35
1756460766.862848,0.15501832962036133,110167.99,61384.5,110671.97,118484.98,64057.86,117573.83
1756460766.8663645,0.15853476524353027,110542.96,61785.76,110629.33,118521.46,62548.31,112905.18
1756460766.870855,0.1630253791809082,110035.22,61398.45,110649.44,118409.34,63863.13,114422.51
1756460766.8742735,0.1664438247680664,109540.08,60914.04,110690.48,118350.6,65705.27,119048.51
1756460766.8787575,0.1709277629852295,109629.67,60923.43,110691.55,118399.15,65721.1,120621.63
1756460766.8821733,0.17434358596801758,110180.86,61389.33,110656.95,118494.1,64043.11,117495.25
1756460766.8866518,0.17882204055786133,110553.96,61790.05,110618.6,118524.95,62549.65,112864.41
1756460766.890101,0.18227124214172363,110042.73,61403.81,110640.06,118412.02,63878.69,114429.75
1756460766.8945842,0.18675446510314941,109530.16,60912.97,110680.29,118353.82,65715.47,119050.12
1756460766.902457,0.1946272850036621,110193.2,61405.42,110680.02,118483.64,64018.7,117460.11
1756460766.9069355,0.19910573959350586,110545.37,61787.1,110640.06,118515.29,62544.83,112869.78
1756460766.9103446,0.2025148868560791,110034.68,61400.33,110659.9,118408.81,63895.32,114491.44
1756460766.914825,0.20699524879455566,109528.82,60913.51,110696.38,118342.56,65717.08,119101.89
1756460766.918241,0.21041131019592285,109634.76,60934.96,110704.43,118387.88,65695.62,120599.9
1756460766.9227226,0.21489286422729492,110196.95,61404.62,110667.41,118490.08,63996.44,117404.59
1756460766.9261322,0.21830248832702637,110551.01,61789.25,110630.67,118515.29,62541.61,112846.17
1756460766.930613,0.22278332710266113,110031.19,61396.3,110660.71,118404.51,63914.63,114531.4
1756460766.9384794,0.23064970970153809,109633.42,60927.99,110710.6,118390.84,65690.79,120601.78
1756460766.9429646,0.23513484001159668,110204.46,61407.84,110672.78,118493.83,63979.0,117373.74
1756460766.9463809,0.23855113983154297,110550.2,61772.89,110624.5,118524.68,62546.44,112844.56
1756460766.9508638,0.24303412437438965,110020.47,61371.36,110638.71,118415.78,63932.33,114559.03
1756460766.9542894,0.2464597225189209,109524.79,60899.83,110678.14,118350.07,65736.12,119152.05
1756460766.9587786,0.2509489059448242,109637.98,60927.72,110686.99,118392.44,65674.7,120568.52
1756460766.962253,0.2544233798980713,110209.83,61412.67,110655.88,118492.22,63951.65,117306.15
1756460766.9667392,0.2589094638824463,110552.08,61791.66,110620.48,118516.36,62531.95,112813.45
1756460766.9701514,0.26232171058654785,110021.54,61382.89,110643.54,118401.03,63933.41,114592.56
1756460766.9746354,0.26680564880371094,109523.45,60897.15,110682.17,118340.95,65730.49,119186.92
1756460766.982581,0.2747511863708496,110218.14,61419.64,110655.08,118489.81,63926.43,117282.28
1756460766.9870703,0.27924060821533203,110546.45,61782.81,110619.4,118513.14,62532.49,112837.59
1756460766.990542,0.2827122211456299,110016.98,61372.43,110645.96,118403.98,63954.33,114672.76
1756460766.9950314,0.2872016429901123,109526.4,60892.32,110675.73,118354.63,65743.09,119250.48
1756460766.9984515,0.2906217575073242,109645.22,60923.97,110670.63,118405.59,65650.02,120573.62
1756460767.0029337,0.2951040267944336,110219.22,61410.79,110629.33,118505.37,63907.66,117236.14
1756460767.0063834,0.2985537052154541,110550.74,61780.67,110589.63,118528.7,62533.83,112812.91
1756460767.0108714,0.3030416965484619,110013.76,61361.17,110609.21,118415.24,63971.76,114680.8
1756460767.0142853,0.3064556121826172,109525.33,60881.86,110642.2,118360.26,65750.33,119248.61
1756460767.0187664,0.31093668937683105,109657.03,60925.31,110637.37,118414.44,65643.31,120522.66
1756460767.0221813,0.31435155868530273,110233.43,61414.01,110593.12,118513.68,63890.49,117140.66
1756460767.0266645,0.3188347816467285,110554.22,61773.96,110555.57,118531.11,62532.76,112745.05
1756460767.031149,0.3233191967010498,110015.37,61355.27,110583.19,118416.85,63987.59,114661.49
1756460767.0346062,0.32677650451660156,109532.3,60883.2,110618.6,118360.79,65753.29,119212.93
1756460767.0390973,0.3312675952911377,109662.66,60930.94,110627.99,118405.05,65627.22,120467.67
1756460767.0425196,0.3346898555755615,110238.8,61416.69,110593.92,118506.71,63867.69,117069.31
1756460767.0470083,0.33917856216430664,110554.49,61772.08,110561.47,118525.75,62533.02,112724.67
1756460767.0504234,0.3425936698913574,110010.27,61347.22,110593.39,118409.61,64000.19,114696.36
1756460767.054902,0.3470723628997803,109529.35,60869.25,110632.55,118354.89,65758.65,119246.46
1756460767.0583184,0.35048866271972656,109665.61,60921.82,110644.62,118403.17,65621.05,120471.16
1756460767.062855,0.3550252914428711,110249.79,61418.84,110607.6,118504.83,63847.58,117033.37
1756460767.0662715,0.3584418296813965,110560.13,61765.38,110568.44,118525.21,62533.83,112714.48
1756460767.070753,0.36292338371276855,110018.32,61343.73,110596.07,118415.78,64021.11,114728.55
1756460767.074169,0.36633920669555664,109547.86,60884.54,110641.93,118359.45,65767.23,119280.26
1756460767.0786555,0.37082576751708984,109692.16,60940.06,110647.83,118407.2,65610.59,120464.99
1756460767.08315,0.3753201961517334,110274.47,61430.9,110601.7,118509.93,63827.73,116977.58
1756460767.086567,0.378737211227417,110572.2,61773.42,110567.1,118526.29,62535.98,112694.09
1756460767.0910494,0.38321971893310547,110021.81,61343.2,110596.34,118413.63,64036.13,114756.44
1756460767.0944703,0.3866405487060547,109550.81,60879.71,110631.47,118362.14,65772.33,119286.43
1756460767.0989501,0.39112043380737305,109696.45,60939.26,110633.89,118412.29,65601.2,120431.19
1756460767.1023633,0.394533634185791,110281.98,61434.93,110592.31,118513.68,63809.49,116912.94
1756460767.1068456,0.3990159034729004,110571.93,61766.99,110557.44,118524.41,62537.05,112662.98
1756460767.110267,0.4024372100830078,110014.3,61332.47,110584.27,118409.61,64053.3,114773.34
1756460767.1147501,0.4069204330444336,109549.2,60878.91,110624.77,118356.77,65777.42,119306.01
1756460767.1192265,0.41139674186706543,109707.99,60948.11,110633.62,118409.34,65590.21,120419.39
1756460767.1226425,0.4148128032684326,110293.78,61441.1,110595.26,118513.41,63789.91,116860.1
1756460767.127125,0.4192953109741211,110570.85,61764.84,110558.25,118523.34,62537.58,112641.52
1756460767.1305406,0.4227108955383301,110012.42,61328.18,110585.61,118404.78,64070.47,114806.06
1756460767.1350217,0.42719197273254395,109546.52,60868.18,110627.18,118347.38,65783.86,119343.56
1756460767.1384351,0.430605411529541,109706.11,60936.04,110635.5,118403.17,65580.55,120421.0
1756460767.14292,0.4350903034210205,110301.56,61442.17,110594.73,118510.19,63766.3,116820.67
1756460767.1463335,0.4385037422180176,110570.85,61754.38,110557.44,118523.6,62539.19,112637.5
1756460767.150815,0.44298529624938965,110012.42,61320.13,110591.78,118405.32,64084.41,114848.44
1756460767.1552906,0.4474608898162842,109557.25,60873.81,110625.84,118352.21,65783.06,119356.97
1756460767.1587074,0.45087766647338867,109715.5,60941.94,110626.11,118406.12,65563.65,120385.33
1756460767.163259,0.4554293155670166,110304.24,61441.37,110586.68,118509.66,63743.51,116749.59
1756460767.1666813,0.45885157585144043,110573.0,61758.67,110557.71,118522.53,62539.73,112606.92
1756460767.1711643,0.4633345603942871,110009.2,61314.23,110586.41,118405.59,64102.92,114866.95
1756460767.1745856,0.46675586700439453,109551.88,60858.52,110624.23,118352.21,65796.2,119380.84
1756460767.1790695,0.4712398052215576,109719.25,60935.77,110633.89,118403.71,65560.17,120385.33
1756460767.1824865,0.4746568202972412,110324.36,61452.36,110597.94,118514.22,63726.88,116711.24
1756460767.1869714,0.4791417121887207,110577.29,61757.33,110563.34,118527.63,62541.07,112595.39
1756460767.1903915,0.4825618267059326,110000.89,61299.74,110588.83,118406.12,64114.99,114896.72
1756460767.1948755,0.4870457649230957,109561.27,60859.59,110628.52,118356.23,65797.54,119402.03
1756460767.1982825,0.49045276641845703,109734.27,60944.89,110632.55,118412.56,65549.71,120364.14
1756460767.202769,0.49493932723999023,110333.48,61458.53,110596.34,118515.83,63708.1,116656.79
1756460767.207252,0.4994223117828369,110580.78,61757.06,110565.76,118524.95,62545.36,112586.0
1756460767.210671,0.5028412342071533,110010.27,61301.62,110589.09,118409.34,64136.18,114932.66
1756460767.2151535,0.5073237419128418,109563.42,60859.86,110630.94,118354.89,65807.73,119430.19
1756460767.218571,0.5107412338256836,109738.03,60947.84,110641.13,118411.22,65542.46,120360.92
