timestamp,recording_time,ch1,ch2,ch3,ch4,ch5,ch6
1756461030.2417948,3.188401937484741,109170.74,61127.82,108948.39,117981.8,63354.59,118798.26
1756461030.2452319,3.1918389797210693,108940.61,60881.86,108749.63,118034.64,64213.7,121560.13
1756461030.2497146,3.196321725845337,109302.97,61167.51,108865.24,118005.4,63549.58,121058.56
1756461030.253137,3.19974422454834,109923.91,61730.24,109191.39,117923.86,61952.06,117388.49
1756461030.2576232,3.204230308532715,109789.8,61667.48,109226.8,117905.09,61870.25,115944.93
1756461030.2610385,3.2076456546783447,109157.33,61111.45,108918.88,117988.77,63374.17,118785.66
1756461030.265522,3.2121291160583496,108927.47,60870.32,108733.54,118038.39,64219.6,121527.95
1756461030.2689402,3.2155473232269287,109304.32,61172.07,108869.8,118005.94,63541.8,121005.45
1756461030.2734253,3.2200324535369873,109926.59,61734.26,109197.56,117924.13,61941.87,117320.1
1756461030.2768402,3.223447322845459,109778.53,61660.5,109222.51,117906.16,61886.88,115936.88
1756461030.2813253,3.2279324531555176,109153.58,61113.06,108924.51,117985.29,63396.43,118822.13
1756461030.2847455,3.2313525676727295,108940.88,60887.76,108749.63,118032.76,64220.67,121544.58
1756461030.289233,3.235840082168579,109314.24,61185.48,108886.16,117996.28,63523.56,120986.68
1756461030.2937129,3.2403199672698975,109931.42,61744.72,109221.17,117914.74,61926.58,117301.86
1756461030.2971318,3.243738889694214,109775.31,61662.65,109246.11,117896.77,61903.51,115997.77
1756461030.3016565,3.2482635974884033,109150.62,61108.24,108944.36,117982.87,63416.81,118912.26
1756461030.3050795,3.2516865730285645,108950.8,60892.32,108768.41,118032.76,64221.21,121591.52
1756461030.3096507,3.2562577724456787,109330.6,61197.28,108904.67,117993.87,63504.52,120977.56
1756461030.3130898,3.2596969604492188,109946.97,61755.45,109231.9,117913.67,61905.66,117263.77
1756461030.317612,3.264219045639038,109782.29,61664.53,109246.92,117901.33,61914.24,116013.33
1756461030.3210266,3.2676336765289307,109151.43,61109.04,108937.12,117986.09,63434.52,118947.13
1756461030.3255098,3.2721168994903564,108947.31,60885.88,108760.9,118030.88,64220.4,121595.0
1756461030.328932,3.2755391597747803,109341.33,61203.45,108902.79,117997.36,63492.18,120939.2
1756461030.3334112,3.2800183296203613,109951.53,61757.87,109233.77,117910.45,61896.8,117219.78
1756461030.3368225,3.2834296226501465,109771.82,61651.11,109237.8,117895.97,61929.26,116027.27
1756461030.3413088,3.2879159450531006,109146.07,61100.99,108921.3,117979.92,63446.59,118971.0
1756461030.3458655,3.2924726009368896,108958.04,60899.02,108754.19,118025.52,64215.84,121586.69
1756461030.3492928,3.2958998680114746,109348.57,61213.11,108901.72,117986.63,63473.94,120892.0
1756461030.353825,3.3004322052001953,109956.9,61763.5,109231.09,117904.01,61878.3,117157.56
1756461030.3572512,3.3038582801818848,109763.51,61648.16,109241.55,117887.38,61939.99,116043.37
1756461030.3617446,3.308351755142212,109135.34,61093.48,108936.85,117972.68,63464.82,119034.3
1756461030.3651617,3.3117687702178955,108959.38,60898.49,108772.97,118020.96,64214.23,121622.9
1756461030.3696568,3.3162639141082764,109361.45,61222.5,108919.69,117981.8,63449.27,120877.51
1756461030.373082,3.3196890354156494,109967.89,61770.74,109243.43,117901.33,61856.57,117118.4
1756461030.377565,3.324172019958496,109764.85,61643.87,109242.89,117890.87,61952.59,116062.14
1756461030.3809865,3.3275935649871826,109140.7,61090.0,108931.49,117976.97,63481.19,119072.12
1756461030.3854733,3.332080364227295,108964.48,60896.34,108768.41,118013.99,64206.99,121627.46
1756461030.3888896,3.335496664047241,109368.42,61225.18,108922.64,117972.68,63427.54,120847.74
1756461030.393375,3.339982032775879,109975.67,61777.18,109249.33,117894.89,61839.67,117082.19
1756461030.3978617,3.344468832015991,109762.17,61641.73,109239.94,117887.92,61965.2,116087.62
1756461030.401283,3.3478901386260986,109140.16,61090.8,108926.12,117975.09,63495.94,119121.47
1756461030.4057672,3.352374315261841,108977.09,60908.68,108771.9,118013.45,64204.31,121643.28
1756461030.4093013,3.3559083938598633,109383.17,61237.79,108928.0,117967.05,63408.23,120811.8
1756461030.4137878,3.3603949546813965,109981.84,61783.62,109253.89,117881.48,61821.97,117039.0
1756461030.4172056,3.3638126850128174,109757.07,61638.78,109237.8,117878.8,61977.0,116111.76
1756461030.421686,3.368293046951294,109134.53,61085.97,108926.93,117965.71,63510.42,119172.7
