timestamp,recording_time,ch1,ch2,ch3,ch4,ch5,ch6
1756460962.8079634,0.4089088439941406,108914.59,61205.06,110240.41,118160.7,63669.48,117778.22
1756460962.8113945,0.4123399257659912,108457.27,60764.64,110034.68,118284.08,64885.59,121124.54
1756460962.814857,0.4158024787902832,108623.57,60875.15,110045.14,118242.24,64688.45,121844.98
1756460962.8193498,0.42029523849487305,109219.29,61398.99,110241.21,118099.55,63333.66,119041.54
1756460962.8227851,0.42373061180114746,109460.15,61669.09,110391.15,118018.01,62511.84,116046.58
1756460962.8272834,0.42822885513305664,108901.18,61193.26,110230.21,118152.39,63677.79,117809.87
1756460962.831774,0.43271946907043457,108452.71,60762.5,110032.54,118278.99,64886.93,121151.37
1756460962.8351858,0.43613123893737793,108628.67,60881.05,110052.65,118236.34,64676.65,121841.5
1756460962.8396635,0.4406089782714844,109227.87,61406.5,110251.67,118094.45,63316.23,119008.55
1756460962.8432112,0.4441566467285156,109455.59,61663.72,110397.58,118014.25,62515.59,116057.05
1756460962.8477721,0.4487175941467285,108892.06,61186.02,110230.21,118153.19,63692.81,117854.39
1756460962.851191,0.4521365165710449,108452.18,60761.16,110032.54,118277.38,64891.76,121184.62
1756460962.8556652,0.45661067962646484,108628.4,60881.59,110057.75,118227.22,64666.19,121847.13
1756460962.8591127,0.46005821228027344,109227.34,61409.98,110269.11,118078.09,63294.77,118998.36
1756460962.8636327,0.46457815170288086,109447.28,61660.23,110412.87,118005.13,62519.08,116096.21
1756460962.8670952,0.46804070472717285,108878.38,61174.75,110242.55,118147.83,63709.98,117939.96
1756460962.871608,0.4725534915924072,108441.99,60753.65,110038.17,118273.62,64890.95,121244.97
1756460962.8750677,0.47601318359375,108628.4,60883.2,110057.48,118230.98,64651.97,121851.15
1756460962.879562,0.48050737380981445,109225.73,61414.28,110270.45,118078.89,63278.14,118971.0
1756460962.8829772,0.48392271995544434,109432.79,61652.72,110417.97,118000.04,62526.86,116125.71
1756460962.8874552,0.4884006977081299,108864.7,61162.95,110247.38,118145.68,63729.56,118012.64
1756460962.890877,0.4918224811553955,108436.62,60746.67,110043.0,118275.77,64902.76,121299.15
1756460962.8953483,0.4962937831878662,108627.06,60879.98,110057.21,118234.19,64648.21,121857.32
1756460962.8998237,0.5007691383361816,109228.14,61414.81,110265.08,118081.84,63263.39,118936.66
1756460962.903233,0.504178524017334,109424.48,61646.02,110402.41,118004.06,62530.07,116122.49
1756460962.9077322,0.5086777210235596,108850.75,61153.83,110231.82,118146.22,63745.12,118049.66
1756460962.9111702,0.5121157169342041,108432.6,60745.06,110033.34,118275.77,64909.19,121321.69
1756460962.9156501,0.5165956020355225,108631.89,60885.34,110055.33,118229.37,64638.83,121844.45
1756460962.9190648,0.520010232925415,109231.9,61418.03,110266.42,118074.6,63246.76,118897.5
1756460962.923555,0.5245003700256348,109418.04,61637.7,110400.53,118005.13,62537.32,116127.86
1756460962.9269679,0.5279133319854736,108842.98,61141.23,110221.09,118158.56,63766.04,118083.72
1756460962.9314425,0.5323879718780518,108425.09,60733.53,110021.54,118280.86,64915.9,121335.63
1756460962.9348538,0.5357992649078369,108631.62,60880.25,110050.51,118227.49,64628.1,121822.72
1756460962.9393444,0.5402898788452148,109240.48,61420.98,110264.55,118073.8,63228.52,118850.3
1756460962.9438927,0.5448381900787354,109420.19,61633.41,110393.02,118010.23,62543.49,116118.74
1756460962.947317,0.548262357711792,108839.49,61132.38,110212.24,118158.29,63779.18,118106.79
1756460962.9517965,0.5527420043945312,108432.33,60734.87,110022.61,118280.06,64920.46,121348.24
1756460962.9552596,0.5562050342559814,108647.71,60891.24,110055.33,118227.22,64622.73,121807.43
1756460962.959778,0.5607235431671143,109255.77,61430.37,110269.11,118071.12,63214.57,118807.11
1756460962.963191,0.5641365051269531,109426.62,61635.56,110393.83,118007.82,62551.0,116125.71
1756460962.9676626,0.5686080455780029,108844.58,61133.18,110210.37,118160.97,63798.76,118152.92
1756460962.971111,0.5720565319061279,108444.67,60742.38,110016.44,118283.01,64927.16,121368.89
1756460962.9756114,0.576556921005249,108663.0,60899.83,110047.29,118231.51,64614.42,121778.47
1756460962.9790354,0.5799808502197266,109267.57,61433.59,110258.65,118071.12,63196.34,118744.62
1756460962.983519,0.5844645500183105,109422.06,61624.56,110382.03,118008.35,62555.02,116111.49
1756460962.9869359,0.587881326675415,108839.49,61122.45,110200.17,118162.58,63818.61,118180.01
1756460962.9914293,0.5923748016357422,108440.64,60735.94,110015.1,118276.31,64933.07,121393.03
1756460962.9959166,0.5968620777130127,108669.17,60901.17,110047.82,118221.86,64598.86,121758.62
1756460962.9993322,0.6002776622772217,109281.78,61443.51,110258.65,118068.97,63177.56,118688.83
1756460963.003814,0.6047594547271729,109426.89,61627.51,110378.0,118009.16,62561.46,116098.89
1756460963.0072327,0.6081781387329102,108838.95,61121.65,110194.27,118160.43,63834.16,118204.69
1756460963.0117092,0.6126546859741211,108445.2,60739.43,110012.69,118270.94,64937.89,121409.93
1756460963.015128,0.6160733699798584,108675.07,60904.66,110053.72,118219.17,64590.01,121746.82
1756460963.0196104,0.6205558776855469,109289.03,61449.14,110269.37,118070.58,63164.42,118654.5
1756460963.0230274,0.6239728927612305,109420.99,61622.15,110383.37,118018.28,62575.14,116115.25
1756460963.0275097,0.6284551620483398,108828.22,61112.79,110194.81,118174.11,63858.3,118263.43
1756460963.0319908,0.6329362392425537,108440.91,60732.99,110009.74,118287.3,64944.87,121443.19
1756460963.0354042,0.6363496780395508,108678.02,60906.8,110045.14,118236.88,64583.84,121724.28
1756460963.0398848,0.6408302783966064,109293.05,61454.24,110261.6,118082.38,63151.01,118592.81
1756460963.0433664,0.6443119049072266,109407.04,61611.95,110372.64,118025.25,62585.06,116102.91
1756460963.0478704,0.6488158702850342,108814.01,61101.26,110186.23,118177.6,63873.32,118290.79
1756460963.0512826,0.6522281169891357,108436.08,60730.31,110001.69,118291.06,64947.01,121449.89
1756460963.0557642,0.6567096710205078,108677.21,60907.07,110043.26,118233.39,64572.04,121704.17
1756460963.0591764,0.6601219177246094,109292.78,61452.9,110260.79,118077.82,63132.5,118544.53
1756460963.0636475,0.664592981338501,109403.02,61604.98,110363.25,118028.74,62585.33,116083.6
1756460963.0671043,0.6680498123168945,108805.96,61088.92,110169.33,118185.38,63884.59,118291.59
1756460963.0715828,0.6725282669067383,108429.92,60720.39,109987.74,118294.28,64946.74,121434.61
1756460963.0760655,0.6770110130310059,108678.02,60907.34,110037.9,118230.98,64557.82,121663.13
1756460963.079475,0.6804203987121582,109298.68,61461.21,110262.67,118074.33,63112.11,118480.15
1756460963.0839694,0.6849148273468018,109402.48,61610.08,110369.15,118030.08,62594.45,116076.89
1756460963.0873857,0.688331127166748,108803.82,61092.95,110176.57,118188.87,63904.71,118333.7
1756460963.0918694,0.692814826965332,108435.28,60730.58,109994.98,118294.01,64952.11,121462.23
1756460963.0952873,0.696232795715332,108687.94,60917.53,110041.39,118233.93,64548.97,121639.53
1756460963.0997665,0.7007119655609131,109305.12,61467.65,110265.89,118076.48,63100.85,118425.44
1756460963.1031797,0.704125165939331,109394.17,61600.69,110369.69,118028.2,62605.98,116077.43
