timestamp,recording_time,ch1,ch2,ch3,ch4,ch5,ch6
1756461224.3772116,0.00038695335388183594,105528.57,58903.19,110225.12,115210.0,62607.05,122837.4
1756461224.3818743,0.005049705505371094,105762.99,59080.22,110302.63,115259.89,62237.45,122975.54
1756461224.3853092,0.008484601974487305,106306.14,59553.36,110650.25,115358.87,60843.77,120162.43
1756461224.3897882,0.012963533401489258,106370.52,59656.09,110806.89,115347.33,60330.93,118098.47
1756461224.3931966,0.016371965408325195,105841.58,59207.35,110503.8,115249.43,61591.03,120118.98
1756461224.39772,0.02089548110961914,105535.54,58906.95,110231.56,115212.42,62616.98,122850.28
1756461224.4011612,0.024336576461791992,105772.11,59086.12,110317.65,115259.89,62233.42,122967.76
1756461224.405643,0.028818368911743164,106312.85,59560.6,110669.02,115354.84,60826.87,120129.71
1756461224.410115,0.03329038619995117,106365.96,59654.21,110821.1,115339.29,60334.15,118110.54
1756461224.413548,0.03672337532043457,105836.76,59200.92,110516.67,115244.07,61606.05,120168.87
1756461224.418102,0.041277408599853516,105545.74,58914.46,110244.43,115212.69,62615.9,122883.0
1756461224.421524,0.04469943046569824,105782.57,59096.58,110325.97,115262.04,62218.94,122957.56
1756461224.4259984,0.049173831939697266,106319.82,59566.77,110674.92,115355.11,60807.56,120089.48
1756461224.4294152,0.05259060859680176,106371.32,59654.75,110809.03,115351.89,60338.71,118084.53
1756461224.433908,0.0570833683013916,105833.0,59195.82,110497.36,115255.87,61619.46,120155.73
1756461224.4373126,0.060487985610961914,105541.71,58912.58,110230.48,115218.59,62616.71,122850.28
1756461224.4417875,0.06496286392211914,105785.53,59097.92,110317.65,115267.4,62207.14,122893.19
1756461224.445194,0.06836938858032227,106324.38,59569.45,110673.58,115360.21,60791.73,120003.11
1756461224.4496696,0.0728449821472168,106361.13,59651.53,110816.28,115343.85,60347.29,118063.34
1756461224.4620135,0.0851888656616211,105789.82,59102.75,110335.09,115271.69,62201.24,122885.68
1756461224.4654331,0.0886085033416748,106332.16,59580.18,110694.77,115362.35,60777.79,119967.97
1756461224.4699075,0.09308290481567383,106354.69,59645.36,110827.01,115340.36,60349.97,118064.14
1756461224.4733586,0.09653401374816895,105820.93,59185.09,110507.82,115252.11,61648.43,120205.62
1756461224.4778535,0.1010289192199707,105535.54,58902.92,110241.75,115220.46,62626.1,122879.51
1756461224.4812765,0.10445189476013184,105790.35,59099.26,110334.02,115272.5,62186.48,122853.5
1756461224.4857538,0.10892915725708008,106338.6,59584.2,110699.33,115359.4,60757.67,119911.11
1756461224.4892108,0.11238622665405273,106352.01,59644.55,110831.83,115333.65,60359.36,118061.19
1756461224.4937048,0.11688017845153809,105808.86,59178.39,110520.43,115239.51,61670.69,120260.6
1756461224.5060787,0.12925410270690918,106336.72,59579.38,110713.28,115355.65,60745.06,119896.09
1756461224.5094984,0.1326737403869629,106344.77,59636.24,110834.52,115335.26,60370.09,118081.31
1756461224.5139832,0.13715863227844238,105804.3,59171.68,110514.8,115243.26,61687.06,120304.06
1756461224.5175695,0.14074492454528809,105538.49,58906.95,110257.84,115213.76,62635.22,122951.93
1756461224.5220926,0.14526796340942383,105802.15,59108.65,110354.67,115272.5,62171.19,122860.47
1756461224.5255086,0.14868402481079102,106341.82,59584.74,110711.4,115361.55,60731.38,119863.64
1756461224.5300474,0.15322279930114746,106331.89,59624.71,110825.13,115330.17,60375.72,118096.6
1756461224.5334728,0.1566481590270996,105791.43,59159.88,110505.14,115234.68,61697.52,120343.22
1756461224.5379539,0.16112923622131348,105530.45,58895.41,110249.26,115211.08,62634.68,122964.0
1756461224.5413697,0.16454505920410156,105800.81,59108.38,110352.52,115269.82,62157.78,122843.03
1756461224.54585,0.16902542114257812,106342.35,59588.23,110711.94,115357.26,60712.61,119830.65
1756461224.549281,0.1724562644958496,106328.4,59622.56,110824.59,115330.17,60384.84,118110.81
1756461224.5537567,0.17693209648132324,105791.43,59157.2,110498.97,115240.31,61716.29,120379.43
1756461224.5582285,0.18140387535095215,105534.74,58901.05,110249.53,115211.61,62638.7,122988.41
1756461224.5660923,0.18926763534545898,106352.28,59594.4,110714.08,115359.94,60696.25,119792.56
1756461224.5695016,0.19267702102661133,106333.77,59622.83,110810.38,115340.63,60390.21,118097.94
1756461224.5739737,0.19714903831481934,105789.28,59152.9,110483.95,115245.14,61729.43,120393.37
1756461224.5773833,0.20055866241455078,105531.52,58896.75,110244.16,115214.56,62638.44,122987.07
1756461224.5819051,0.20508050918579102,105810.74,59118.3,110357.89,115270.35,62130.96,122802.8
1756461224.5853188,0.2084941864013672,106358.71,59601.1,110722.94,115363.43,60682.84,119751.52
1756461224.589797,0.21297240257263184,106323.04,59618.54,110826.2,115329.09,60403.08,118131.2
1756461224.594273,0.21744847297668457,105780.97,59150.76,110502.99,115234.68,61749.55,120470.35
